timestamp,game,steps,score,target_score,delta,efficiency
2026-04-09T14:06:11,1,2229,6,0,6,0.0027
2026-04-09T14:06:56,2,1730,5,3,2,0.0029
2026-04-09T14:08:02,3,2571,6,6,0,0.0023
2026-04-09T14:08:35,4,1274,4,4,0,0.0031
2026-04-09T15:07:19,5,11,0,0,0,0.0000
2026-04-09T15:07:21,6,48,0,0,0,0.0000
2026-04-09T15:07:23,7,70,0,0,0,0.0000
2026-04-09T15:07:24,8,22,1,0,1,0.0455
2026-04-09T15:07:27,9,74,0,1,-1,0.0000
2026-04-09T15:07:28,10,17,0,0,0,0.0000
2026-04-09T15:07:30,11,53,2,1,1,0.0377
2026-04-09T15:07:32,12,54,0,2,-2,0.0000
2026-04-09T15:07:35,13,86,0,2,-2,0.0000
2026-04-09T15:07:37,14,32,0,1,-1,0.0000
2026-04-09T15:07:38,15,18,0,0,0,0.0000
2026-04-09T15:07:40,16,25,0,1,-1,0.0000
2026-04-09T15:07:42,17,51,1,2,-1,0.0196
2026-04-09T15:07:43,18,18,1,0,1,0.0556
2026-04-09T15:07:44,19,10,1,1,0,0.1000
2026-04-09T15:07:46,20,68,0,2,-2,0.0000
2026-04-09T15:07:49,21,58,1,2,-1,0.0172
2026-04-09T15:07:50,22,27,0,1,-1,0.0000
2026-04-09T15:07:51,23,22,0,1,-1,0.0000
2026-04-09T15:07:52,24,15,0,1,-1,0.0000
2026-04-09T15:07:54,25,21,0,1,-1,0.0000
2026-04-09T15:07:57,26,85,0,2,-2,0.0000
2026-04-09T15:08:00,27,100,1,2,-1,0.0100
2026-04-09T15:08:03,28,107,1,2,-1,0.0093
2026-04-09T15:08:05,29,30,1,1,0,0.0333
2026-04-09T15:08:06,30,11,0,1,-1,0.0000
2026-04-09T15:08:09,31,75,1,2,-1,0.0133
2026-04-09T15:08:10,32,12,0,1,-1,0.0000
2026-04-09T15:08:11,33,31,0,1,-1,0.0000
2026-04-09T15:08:12,34,12,0,1,-1,0.0000
2026-04-09T15:08:16,35,112,2,2,0,0.0179
2026-04-09T15:08:17,36,16,0,1,-1,0.0000
2026-04-09T15:08:19,37,45,0,1,-1,0.0000
2026-04-09T15:08:21,38,56,1,2,-1,0.0179
2026-04-09T15:08:22,39,15,1,1,0,0.0667
2026-04-09T15:08:23,40,13,0,1,-1,0.0000
2026-04-09T15:08:26,41,70,0,2,-2,0.0000
2026-04-09T15:08:27,42,23,0,1,-1,0.0000
2026-04-09T15:08:29,43,69,1,2,-1,0.0145
2026-04-09T15:08:30,44,10,0,1,-1,0.0000
2026-04-09T15:08:32,45,29,0,1,-1,0.0000
2026-04-09T15:08:33,46,17,0,1,-1,0.0000
2026-04-09T15:08:35,47,75,0,2,-2,0.0000
2026-04-09T15:08:37,48,19,0,1,-1,0.0000
2026-04-09T15:08:40,49,107,1,2,-1,0.0093
2026-04-09T15:08:41,50,15,0,1,-1,0.0000
2026-04-09T15:08:42,51,10,0,1,-1,0.0000
2026-04-09T15:08:45,52,77,1,2,-1,0.0130
2026-04-09T15:08:46,53,17,0,1,-1,0.0000
2026-04-09T15:08:50,54,125,2,2,0,0.0160
2026-04-09T15:08:53,55,108,4,2,2,0.0370
2026-04-09T15:09:00,56,250,5,4,1,0.0200
2026-04-09T15:09:02,57,45,3,1,2,0.0667
2026-04-09T15:09:05,58,65,1,3,-2,0.0154
2026-04-09T15:09:07,59,54,0,3,-3,0.0000
2026-04-09T15:09:10,60,86,2,3,-1,0.0233
2026-04-09T15:09:12,61,67,4,3,1,0.0597
2026-04-09T15:09:17,62,167,4,4,0,0.0240
2026-04-09T15:09:18,63,16,0,1,-1,0.0000
2026-04-09T15:09:23,64,141,3,4,-1,0.0213
2026-04-09T15:09:26,65,107,3,4,-1,0.0280
2026-04-09T15:09:27,66,11,0,1,-1,0.0000
2026-04-09T15:09:30,67,83,0,4,-4,0.0000
2026-04-09T15:09:32,68,40,0,2,-2,0.0000
2026-04-09T15:09:36,69,140,2,4,-2,0.0143
2026-04-09T15:09:45,70,319,7,5,2,0.0219
2026-04-09T15:09:52,71,254,9,5,4,0.0354
2026-04-09T15:09:58,72,212,6,6,0,0.0283
2026-04-09T15:10:00,73,29,0,2,-2,0.0000
2026-04-09T15:10:11,74,416,9,9,0,0.0216
2026-04-09T15:10:15,75,119,1,4,-3,0.0084
2026-04-09T15:10:20,76,170,5,7,-2,0.0294
2026-04-09T15:10:28,77,284,13,9,4,0.0458
2026-04-09T15:10:33,78,171,8,7,1,0.0468
2026-04-09T15:10:59,79,952,3,13,-10,0.0032
2026-04-09T15:11:04,80,190,10,9,1,0.0526
2026-04-09T15:11:09,81,153,7,8,-1,0.0458
2026-04-09T15:11:23,82,498,18,13,5,0.0361
2026-04-09T15:11:28,83,175,8,9,-1,0.0457
2026-04-09T15:12:07,84,1479,34,18,16,0.0230
2026-04-09T15:12:21,85,528,18,18,0,0.0341
2026-04-09T15:12:24,86,104,3,6,-3,0.0288
2026-04-09T15:12:37,87,477,18,17,1,0.0377
2026-04-09T15:12:53,88,580,33,18,15,0.0569
2026-04-09T15:13:07,89,522,26,29,-3,0.0498
2026-04-09T15:13:23,90,594,35,33,2,0.0589
2026-04-09T15:13:41,91,661,37,35,2,0.0560
2026-04-09T15:14:00,92,747,47,37,10,0.0629
2026-04-09T15:14:08,93,251,20,18,2,0.0797
2026-04-09T15:14:14,94,201,15,15,0,0.0746
